integer-1,varchar-32,varchar-32,integer-1,varchar-24
23,Mitsubishi,Sigma,21081,Shana Hane
386,Ford,F350,48054,Artair Van Merwe
389,GMC,Rally Wagon 1500,34028,Kate Flexman
723,Pontiac,Bonneville,57083,Danila Ternouth
294,Lexus,GS,31111,Vanni Fusco
59,Lotus,Esprit,13828,Jaime Wennam
494,Infiniti,FX,67409,Kip Fynn
905,Mercedes-Benz,C-Class,15102,Obie Thomke
857,Honda,Accord,73368,Erastus Foister
969,Mazda,CX-9,69041,Worthington Boulde
978,Mercedes-Benz,SLR McLaren,58358,Gawain Maden
121,Isuzu,Rodeo,24928,Lydia Ioan
814,Ford,F150,61630,Nana MacCurley
931,GMC,Yukon XL 1500,23637,Murvyn Capes
126,Mazda,Millenia,68084,Lionel Coogan
132,Volkswagen,Routan,68603,Eal Ransfield
399,Plymouth,Sundance,23933,Holt Gibby
17,Lexus,SC,35932,Theodoric Whiteoak
535,Kia,Amanti,67925,Wilek Domke
935,Porsche,944,34792,Gaspar Paddick
751,Buick,Skylark,96694,Horatius Polak
314,Audi,V8,23398,Hashim Spurling
347,Hyundai,Veracruz,58085,Elsinore Opfer
513,Ford,Econoline E250,70387,Anatole Adolfsen
633,Audi,Allroad,66208,Allin Foxen
108,GMC,Suburban 1500,91229,Dulcine Kohrding
284,Mazda,Protege,23860,Celestine Pain
706,Mazda,Mazdaspeed 3,49817,Husein Fonzo
781,GMC,Suburban 2500,47923,Merissa Holdall
87,Dodge,Nitro,57493,Norton Iacovo
590,Dodge,Caravan,75172,Lodovico Coult
516,Suzuki,Swift,19420,Viole Eales
550,Bugatti,Veyron,34878,Rena Witherden
353,Scion,xA,84021,Catherin Accum
254,GMC,Safari,91320,Van Droghan
188,Pontiac,G8,41081,Ameline Minelli
562,Toyota,Tacoma Xtra,14091,Anya Kausche
463,Kia,Amanti,39736,Tirrell Imrie
977,BMW,M,28767,Howie Reece
924,Ford,Econoline E150,12441,Dara Jeacop
292,Ford,Escape,24553,Wernher Stidston
599,Lincoln,Continental,81242,Nancey Tow
229,Audi,RS6,71854,Gaylord Corse
511,Infiniti,G,70443,Philis Hubbuck
784,Ford,Tempo,47666,Rockwell Goodwell
673,Chrysler,LHS,14852,Gaylord Waldron
945,BMW,M6,81576,Darren Treadway
392,Buick,Verano,17811,Early Divver
719,Mitsubishi,Eclipse,69303,Sile Guillotin
325,Saturn,VUE,47336,Vick Bilbrook
963,Mazda,B-Series Plus,49837,Muhammad Ablett
958,Chrysler,Crossfire Roadster,70702,Katherina Houseman
208,Mazda,Protege,21882,Noel Sammes
212,Nissan,Xterra,30071,Tania Ravenhill
770,Ferrari,F430,44807,Emelen Daville
248,Bentley,Arnage,50615,Stoddard Quartley
977,BMW,M,28767,Burr Setford
733,BMW,5 Series,81274,Eduardo Hamm
119,Toyota,Solara,54693,Andria Haly
337,Saturn,S-Series,31087,Jedd Stapleton
839,Mercedes-Benz,SLR McLaren,35134,Jaimie Bern
33,Dodge,Caravan,88474,Austin Hatchell
413,GMC,Vandura 1500,64449,Field Manchester
895,Mercury,Tracer,51977,Brandie Murford
270,Ford,Laser,10418,Mariam Bragge
83,Mazda,Protege,82103,Pegeen Burrell
516,Suzuki,Swift,19420,Deidre Maffy
237,Toyota,Land Cruiser,55683,Geralda Logie
551,Ford,F350,63151,Jeniffer Cluff
930,Pontiac,Sunfire,73641,Alexandrina Barter
943,Dodge,Ram Wagon B150,13910,Reynolds Margarson
193,Mitsubishi,Galant,17505,Jessie Haverson
489,Hyundai,Sonata,28421,Glenn Ghio
147,Fiat,Nuova 500,12106,Starlin Colomb
318,Dodge,Ram Van 2500,96928,Feliks Piser
380,Toyota,Corolla,72502,Jacinthe Coleiro
104,Dodge,Ram Van 3500,76846,Arlen Debow
622,Lotus,Esprit,69950,Patty Duffield
789,Infiniti,I,44533,Mohandis Papis
575,Porsche,Cayman,90478,Aleta Pawelczyk
974,Mercedes-Benz,S-Class,77132,Marty Yemm
483,GMC,Canyon,70294,Griffith Leyman
349,Mercedes-Benz,SL-Class,43465,Angelique Cisar
796,Lexus,SC,32955,Anastassia Keningham
260,GMC,2500 Club Coupe,88329,Deedee McKellar
224,Mazda,MPV,50724,Curr Ivasechko
208,Mazda,Protege,21882,Gabie Greaser
892,Scion,xD,36126,Gardener Ropartz
262,BMW,Z4,23436,Bobby Gready
226,Dodge,Ram Van 1500,11525,Florette Payn
346,Chevrolet,3500,75387,Tasha Berre
496,Volvo,S40,66425,Torrance McCarrison
21,Cadillac,STS-V,85176,Amie Iacovacci
8,Mazda,MX-6,92677,Loleta Shearmur
612,Pontiac,Turbo Firefly,11944,Broderic Ditt
775,Mazda,RX-8,88066,Whitman Scouller
996,Toyota,Sequoia,66410,Clari Franceschelli
301,Porsche,Cayenne,69186,Birch Shatliff
905,Mercedes-Benz,C-Class,15102,Heather Deeney
949,Chrysler,Sebring,40240,Danya Wigzell
356,Chevrolet,Express 3500,87294,Thatch Busen
738,Ford,Ranger,75837,Alex Sulley
796,Lexus,SC,32955,Abbey Hanniger
188,Pontiac,G8,41081,Morten Nelles
753,Lincoln,MKT,36550,Catrina Jost
45,Oldsmobile,Ciera,94570,Idalina Ingamells
565,Audi,A3,33491,Wallache Lochet
856,GMC,Envoy,55233,Silvan Smurfit
515,Mercury,Tracer,68135,Orville Mole
144,Pontiac,Firebird,76015,Lenka Abramovici
614,Jeep,Wrangler,78738,Daffi Essel
833,Nissan,Pathfinder,11319,Alick Drinkeld
310,Volkswagen,Scirocco,63498,Rowen Windibank
879,Toyota,Tacoma Xtra,56787,Marilee Cokely
552,Nissan,Maxima,92715,Prent Klemps
572,GMC,Savana 3500,64504,Shea Gendrich
244,Maserati,Quattroporte,57158,Romain Ducker
548,Kia,Sorento,67855,Tammara Bollans
750,Lincoln,Aviator,17753,Mikol Shetliff
781,GMC,Suburban 2500,47923,Fidelio Roll
383,Mazda,Miata MX-5,77962,Forrester Gulvin
250,Audi,90,39935,Peyton Huonic
876,Saturn,Ion,73499,Darbie Krochmann
745,Nissan,240SX,89908,Graehme Erb
500,Cadillac,Fleetwood,71638,Chet Wrist
252,Jeep,Compass,83262,Garfield Tidball
119,Toyota,Solara,54693,Gerrie Hazzard
976,Saab,9-5,84187,Hugo Criag
34,Toyota,Land Cruiser,80728,Weider Sturgis
169,Maserati,430,38177,Dal Longson
781,GMC,Suburban 2500,47923,Bastian Fraczkiewicz
405,Hyundai,Azera,54386,Felizio Gershom
925,Saab,9-5,87099,Brose Gallandre
787,Mazda,B-Series,10890,Novelia Walliker
524,Toyota,Tundra,76101,Sheena Natalie
601,Pontiac,LeMans,58007,Orel Stonard
596,Mercedes-Benz,C-Class,41217,Eberhard Threadgill
900,Mitsubishi,Challenger,70679,Devlen Pilbury
526,Toyota,Camry Hybrid,93795,Berry Bussey
886,Volvo,C70,12346,Piggy Arents
181,Ford,Taurus X,16009,Maddalena Meneux
816,Pontiac,LeMans,87211,Suzette Caspell
383,Mazda,Miata MX-5,77962,Harlin Tolussi
207,Hyundai,Elantra,19845,Michaela Manning
99,Toyota,Land Cruiser,57848,Jemie Mottram
429,Dodge,D150,93414,Antonia Goodread
238,Volkswagen,Jetta,11909,Tamma Veque
372,Isuzu,Rodeo,57659,Antoni Perllman
942,Chrysler,Sebring,94651,Shanta Krebs
163,Subaru,Legacy,17137,Kassey Jansens
26,Suzuki,Grand Vitara,62005,Shem Pistol
662,Lexus,LX,93030,Brenden Tomczynski
744,Dodge,Dakota,86229,Rhiamon Slinger
730,Ford,Ranger,18381,Lilas Owbrick
172,Mitsubishi,3000GT,19711,Dorolisa Jenkins
273,Lamborghini,Diablo,23787,Rachelle Geroldi
296,Mazda,Millenia,66898,Bancroft Shutt
929,Suzuki,Grand Vitara,70399,Jacintha Verrechia
147,Fiat,Nuova 500,12106,Marinna Mogford
869,Mitsubishi,Challenger,86058,Dorry Balshaw
364,Pontiac,Grand Prix,43225,Karleen Simonsen
767,Toyota,RAV4,21961,Mirelle Feldberger
213,Audi,Cabriolet,58191,Heddi de Broke
982,Subaru,XT,85947,Mozelle MacCollom
216,Lexus,LX,53418,Farra Blannin
465,Toyota,Tercel,93418,Shannon Abriani
818,Ford,F150,99789,Giacinta Physick
946,Austin,Mini,27984,Sisely Lorne
778,Suzuki,Daewoo Magnus,50168,Fairlie Brayne
265,Saab,9-7X,93986,Hamnet Donaway
648,Ford,Probe,98149,Amargo Nourse
78,Pontiac,Grand Prix,78053,Sallee Stronghill
557,GMC,Savana 3500,40125,Juliana Growcock
52,Hummer,H2 SUV,36646,Willyt Schwandermann
649,Ford,Focus,59725,Willie Procter
551,Ford,F350,63151,Irving Prevett
317,Jeep,Wrangler,33954,Matti Tibalt
635,Saturn,Outlook,75831,Lorena Kupis
436,Kia,Rio,58299,Marsha Brannigan
314,Audi,V8,23398,Aveline Liell
224,Mazda,MPV,50724,Lucita Arton
502,Chevrolet,Blazer,31900,Kilian Tutchings
961,Audi,TT,31940,Kessia Marousek
205,Saab,900,52885,Harmonia Minihane
192,Aston Martin,Virage,23953,Diarmid McCandless
792,Toyota,Camry,78273,Erskine Waller
175,Aston Martin,Vantage,77135,Suzie Wogden
879,Toyota,Tacoma Xtra,56787,Freddie Kiffe
459,Audi,Quattro,49418,Ivette Roseman
822,Suzuki,Daewoo Lacetti,15634,Reggie Hallowes
994,Isuzu,Rodeo,87202,Tarra Miskin
733,BMW,5 Series,81274,Coralyn Butterly
173,Toyota,Avalon,22487,Lise Flecknoe
23,Mitsubishi,Sigma,21081,Agathe Stormonth
523,Dodge,Dakota,11293,Dexter Yvon
514,Audi,4000CS Quattro,98800,Maxwell Treneer
328,Mazda,MX-6,89452,Angy Lidington
464,BMW,530,31245,Erasmus Dunrige
819,Jaguar,XJ Series,32884,Kelcey Jamblin
446,Subaru,B9 Tribeca,71140,Brendan Jaggli
849,Honda,Fit,10936,Waverley Meugens
228,Lexus,LS,84048,Aaren Rittmeier
638,BMW,M3,73446,Rosana Gunn
943,Dodge,Ram Wagon B150,13910,Der Willmott
144,Pontiac,Firebird,76015,Durand Trye
990,Aston Martin,V8 Vantage,16390,Kevina Madill
130,Lincoln,Town Car,97852,Aida Filpo
932,Saturn,S-Series,95936,Hebert Bennit
681,Audi,A4,56930,Billi Heskin
376,Pontiac,6000,48307,Peyter Clover
253,Volkswagen,Jetta,42446,Gaspard Sanzio
126,Mazda,Millenia,68084,Kial Letham
186,Mazda,MX-5,56378,Oneida Berge
808,Mazda,MPV,60613,Wendell Spurrett
718,Buick,Terraza,28422,Roderic Ouldred
392,Buick,Verano,17811,Louise Lamonby
304,Kia,Rio,62521,Ike Bambury
63,Chevrolet,Corvette,43208,Tamra Tytterton
319,Volkswagen,Golf,95672,Olly Hanham
688,Pontiac,GTO,22847,Delmar Roj
19,Hyundai,Excel,18975,Georgia Ovenell
904,Mitsubishi,Lancer,77410,Megen Whelpton
371,BMW,325,10114,Jerrome Cartmale
428,Mazda,929,82672,Evie Brobak
221,Pontiac,Sunfire,96868,Daisie Caley
776,Oldsmobile,Achieva,75451,Davey Skynner
847,Jaguar,XJ,44174,Sly Sodo
39,Buick,Estate,62828,Cicily Kiddy
175,Aston Martin,Vantage,77135,Hetti Normaville
399,Plymouth,Sundance,23933,Garrot Mars
178,GMC,Savana 1500,31469,Ringo Niven
755,BMW,6 Series,75650,Alexandre Ketteringham
444,Ford,Ranger,18363,Averell Geffinger
416,Pontiac,Solstice,29839,Marcellus Waring
787,Mazda,B-Series,10890,Abrahan Sothcott
142,Ford,F150,42224,Izaak Golland
128,Mitsubishi,Starion,15541,Malissia Byham
939,Honda,S2000,83777,Roderick Lennard
345,Ford,Econoline E250,71989,Carine Etienne
96,Maybach,57,57536,Kahaleel Kneeland
478,GMC,Sierra 2500,41412,Celinka Dekeyser
401,Chevrolet,Silverado 1500,90951,Charline Lawland
90,Ford,Tempo,17562,De witt Crank
939,Honda,S2000,83777,Gwen Congdon
44,Audi,TT,47886,Forest Franzotto
951,Mercedes-Benz,GL-Class,63537,Clerissa Grimbaldeston
